product,isoelectric_point,protein_format,molecular_weight_da,formulation_title,composition,product_conc_mg_ml,tm_c
MAB5410990,6.162000000000001,IGG3,391603.56,F30,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",172.8,158.7283114328
MAB5410990,6.162000000000001,IGG3,391603.56,F31,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 6.0",172.8,160.38907877199998
MAB5410990,6.162000000000001,IGG3,391603.56,F32,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",172.8,165.366815741352
MAB5410990,6.162000000000001,IGG3,391603.56,F33,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 7.0",172.8,162.34586320584802
MAB5410990,6.162000000000001,IGG3,391603.56,F34,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 7.0",172.8,159.3397264928
MAB5410990,6.162000000000001,IGG3,391603.56,F35,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",172.8,162.044927398952
MAB5410990,6.162000000000001,IGG3,391603.56,F36,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 7.0",172.8,161.53399270215198
MAB5410990,6.162000000000001,IGG3,391603.56,F37,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",172.8,165.82645106479998
MAB5410990,6.162000000000001,IGG3,391603.56,F38,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 7.0",172.8,162.86728445039998
MAB5410990,6.162000000000001,IGG3,391603.56,F39,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 7.0",172.8,167.377228981048
MAB5410990,6.162000000000001,IGG3,391603.56,F40,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",172.8,167.678621852
MAB5410990,6.162000000000001,IGG3,391603.56,F41,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 4.5",345.6,141.553616327752
MAB5410990,6.162000000000001,IGG3,391603.56,F42,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",345.6,141.2592657912
MAB5410990,6.162000000000001,IGG3,391603.56,F43,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",345.6,145.0254916888
MAB5410990,6.162000000000001,IGG3,391603.56,F44,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 4.5",345.6,142.426823304552
MAB5410990,6.162000000000001,IGG3,391603.56,F45,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 4.5",345.6,152.417739857848
MAB5410990,6.162000000000001,IGG3,391603.56,F46,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",345.6,155.848839726952
MAB5410990,6.162000000000001,IGG3,391603.56,F47,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",345.6,151.974461575448
MAB5410990,6.162000000000001,IGG3,391603.56,F48,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.0",345.6,158.869094183752
MAB5410990,6.162000000000001,IGG3,391603.56,F49,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",345.6,156.289268558152
MAB5410990,6.162000000000001,IGG3,391603.56,F50,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",345.6,157.5154204992
MAB5410990,6.162000000000001,IGG3,391603.56,F51,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.0",345.6,145.670466925352
MAB5410990,6.162000000000001,IGG3,391603.56,F52,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",345.6,145.363979409048
MAB5410990,6.162000000000001,IGG3,391603.56,F53,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",345.6,148.193500905848
MAB5410990,6.162000000000001,IGG3,391603.56,F54,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.0",345.6,146.082802309352
MAB5410990,6.162000000000001,IGG3,391603.56,F55,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.0",345.6,154.099746277352
MAB5410990,6.162000000000001,IGG3,391603.56,F56,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",345.6,162.430774904
MAB5410990,6.162000000000001,IGG3,391603.56,F57,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 6.0",345.6,157.896185985192
MAB5410990,6.162000000000001,IGG3,391603.56,F58,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 6.0",345.6,162.47610901192795
MAB5410990,6.162000000000001,IGG3,391603.56,F59,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",345.6,161.80411583759198
MAB5410990,6.162000000000001,IGG3,391603.56,F60,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",345.6,162.30368613855998
MAB5410990,6.162000000000001,IGG3,391603.56,F61,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 4.5",345.6,142.212254437208
MAB5410990,6.162000000000001,IGG3,391603.56,F62,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",518.4,141.419290368872
MAB5410990,6.162000000000001,IGG3,391603.56,F63,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",518.4,145.10462049672
MAB5410990,6.162000000000001,IGG3,391603.56,F64,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 4.5",518.4,143.962302887672
MAB5410990,6.162000000000001,IGG3,391603.56,F65,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",518.4,149.98844705759998
MAB5410990,6.162000000000001,IGG3,391603.56,F66,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",518.4,145.813934902152
MAB5410990,6.162000000000001,IGG3,391603.56,F67,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 4.5",518.4,151.210064569352
MAB5410990,6.162000000000001,IGG3,391603.56,F68,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",518.4,150.603934084552
MAB5410990,6.162000000000001,IGG3,391603.56,F69,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",518.4,146.687324850952
MAB5410990,6.162000000000001,IGG3,391603.56,F70,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.0",518.4,147.897977877352
MAB5410990,6.162000000000001,IGG3,391603.56,F71,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.5",518.4,149.66344572455202
MAB5410990,6.162000000000001,IGG3,391603.56,F72,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.5",518.4,148.617918992
MAB5410990,6.162000000000001,IGG3,391603.56,F73,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",518.4,151.52013096640002
MAB5410990,6.162000000000001,IGG3,391603.56,F74,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.5",518.4,150.871656013352
MAB5410990,6.162000000000001,IGG3,391603.56,F75,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",518.4,155.887273425352
MAB5410990,6.162000000000001,IGG3,391603.56,F76,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.5",518.4,152.563747913352
MAB5410990,6.162000000000001,IGG3,391603.56,F77,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.5",518.4,157.20988034560003
MAB5410990,6.162000000000001,IGG3,391603.56,F78,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",518.4,156.405056923752
MAB5410990,6.162000000000001,IGG3,391603.56,F79,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.0",518.4,145.885109045352
MAB5410990,6.162000000000001,IGG3,391603.56,F80,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",518.4,144.771156106952
MAB5410990,6.162000000000001,IGG3,391603.56,F81,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",518.4,147.346143166952
MAB5410990,6.162000000000001,IGG3,391603.56,F82,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.0",518.4,146.003103390152
MAB5410990,6.162000000000001,IGG3,391603.56,F83,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",518.4,151.41947360664798
MAB5410990,6.162000000000001,IGG3,391603.56,F84,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",518.4,148.293800836552
MAB5410990,6.162000000000001,IGG3,391603.56,F85,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.0",518.4,153.421446068
MAB5410990,6.162000000000001,IGG3,391603.56,F86,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",518.4,152.366998652248
MAB5410990,6.162000000000001,IGG3,391603.56,F87,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 6.0",518.4,153.17849609200002
MAB5410990,6.162000000000001,IGG3,391603.56,F88,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 6.0",518.4,155.089743093048
MAB5410990,6.162000000000001,IGG3,391603.56,F89,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 7.0",518.4,154.2452063968
MAB5410990,6.162000000000001,IGG3,391603.56,F90,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 7.0",518.4,153.220362868248
MAB5410990,6.162000000000001,IGG3,391603.56,F91,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",518.4,156.457711515448
MAB5410990,6.162000000000001,IGG3,391603.56,F92,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 7.0",518.4,155.475214341352
MAB5410990,6.162000000000001,IGG3,391603.56,F93,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",518.4,159.968143622952
MAB5410990,6.162000000000001,IGG3,391603.56,F94,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 7.0",518.4,156.884181670648
MAB5410990,6.162000000000001,IGG3,391603.56,F95,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 7.0",518.4,161.18276128664797
MAB5410990,6.162000000000001,IGG3,391603.56,F96,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",518.4,160.7020925336
MAB6181444,5.982600000000001,IGG3,386626.68,F01,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 4.5",172.8,140.87948277152
MAB6181444,5.982600000000001,IGG3,386626.68,F02,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",172.8,145.73141409544
MAB6181444,5.982600000000001,IGG3,386626.68,F03,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",172.8,148.928723336
MAB6181444,5.982600000000001,IGG3,386626.68,F04,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 4.5",172.8,143.00977308632
MAB6181444,5.982600000000001,IGG3,386626.68,F05,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",172.8,156.05048062536
MAB6181444,5.982600000000001,IGG3,386626.68,F06,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",172.8,149.30109014439998
MAB6181444,5.982600000000001,IGG3,386626.68,F07,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 4.5",172.8,156.15930505208
MAB6181444,5.982600000000001,IGG3,386626.68,F08,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",172.8,156.7805237764
MAB6181444,5.982600000000001,IGG3,386626.68,F09,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.0",172.8,155.09430979664
MAB6181444,5.982600000000001,IGG3,386626.68,F10,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,157.68168514168
MAB6181444,5.982600000000001,IGG3,386626.68,F11,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",172.8,158.01837518536
MAB6181444,5.982600000000001,IGG3,386626.68,F12,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,164.97857522287998
MAB6181444,5.982600000000001,IGG3,386626.68,F13,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.5",172.8,160.60570838544
MAB6181444,5.982600000000001,IGG3,386626.68,F14,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.5",172.8,160.2505897212
MAB6181444,5.982600000000001,IGG3,386626.68,F15,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",172.8,163.27343606848
MAB6181444,5.982600000000001,IGG3,386626.68,F16,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.5",172.8,168.43429269991998
MAB6181444,5.982600000000001,IGG3,386626.68,F17,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",172.8,168.56392074832
MAB6181444,5.982600000000001,IGG3,386626.68,F18,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.5",172.8,163.94064201744
MAB6181444,5.982600000000001,IGG3,386626.68,F19,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.5",172.8,169.71398089
MAB6181444,5.982600000000001,IGG3,386626.68,F20,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",172.8,168.8213124464
MAB6181444,5.982600000000001,IGG3,386626.68,F21,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.0",172.8,152.07144940104
MAB6181444,5.982600000000001,IGG3,386626.68,F22,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",172.8,151.71967074943998
MAB6181444,5.982600000000001,IGG3,386626.68,F23,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,153.67104794808
MAB6181444,5.982600000000001,IGG3,386626.68,F24,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.0",172.8,152.77328747968
MAB6181444,5.982600000000001,IGG3,386626.68,F25,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,158.70600532856
MAB6181444,5.982600000000001,IGG3,386626.68,F26,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",172.8,154.99944502832
MAB6181444,5.982600000000001,IGG3,386626.68,F27,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.0",172.8,159.71130666896
MAB6181444,5.982600000000001,IGG3,386626.68,F28,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",172.8,159.58430189872
MAB6181444,5.982600000000001,IGG3,386626.68,F29,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 6.0",172.8,162.69027846736
MAB6181444,5.982600000000001,IGG3,386626.68,F30,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",172.8,164.7607671224
MAB6181444,5.982600000000001,IGG3,386626.68,F31,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 6.0",172.8,165.64781424864
MAB6181444,5.982600000000001,IGG3,386626.68,F32,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",172.8,170.64287887024
MAB6181444,5.982600000000001,IGG3,386626.68,F33,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 7.0",172.8,167.069834712
MAB6181444,5.982600000000001,IGG3,386626.68,F34,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 7.0",172.8,166.00198664064
MAB6181444,5.982600000000001,IGG3,386626.68,F35,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",172.8,169.02340890088
MAB6181444,5.982600000000001,IGG3,386626.68,F36,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 7.0",172.8,168.40863128216
MAB6181444,5.982600000000001,IGG3,386626.68,F37,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",172.8,173.87502637256
MAB6181444,5.982600000000001,IGG3,386626.68,F38,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 7.0",172.8,169.83573907936
MAB6181444,5.982600000000001,IGG3,386626.68,F39,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 7.0",172.8,174.30006509728
MAB6181444,5.982600000000001,IGG3,386626.68,F40,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",172.8,174.0693841184
MAB6181444,5.982600000000001,IGG3,386626.68,F41,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 4.5",345.6,147.53885223192
MAB6181444,5.982600000000001,IGG3,386626.68,F42,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",345.6,147.35955028184
MAB6181444,5.982600000000001,IGG3,386626.68,F43,"15 mM Succinate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 4.5",345.6,149.23915235408
MAB6181444,5.982600000000001,IGG3,386626.68,F44,"15 mM Succinate + 135 mM KCl + 0.4 mg/mL PS50, pH 4.5",345.6,149.49189238816
MAB6181444,5.982600000000001,IGG3,386626.68,F45,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 4.5",345.6,156.76646106424
MAB6181444,5.982600000000001,IGG3,386626.68,F46,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",345.6,162.51270040824
MAB6181444,5.982600000000001,IGG3,386626.68,F47,"15 mM Succinate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",345.6,157.6724193168
MAB6181444,5.982600000000001,IGG3,386626.68,F48,"15 mM Succinate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.0",345.6,164.67175323376
MAB6181444,5.982600000000001,IGG3,386626.68,F49,"15 mM Succinate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",345.6,164.11176492264
MAB6181444,5.982600000000001,IGG3,386626.68,F50,"15 mM Succinate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 5.5",345.6,167.68516510264
MAB6181444,5.982600000000001,IGG3,386626.68,F51,"15 mM Citrate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 5.0",345.6,154.450704092
MAB6181444,5.982600000000001,IGG3,386626.68,F52,"15 mM Citrate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 5.0",345.6,153.38181605199998
MAB6181444,5.982600000000001,IGG3,386626.68,F53,"15 mM Citrate + 67.5 mM L-Lysine + 135 mM Mannitol + 0.4 mg/mL PS50, pH 5.0",345.6,155.77551288255998
MAB6181444,5.982600000000001,IGG3,386626.68,F54,"15 mM Citrate + 135 mM KCl + 0.4 mg/mL PS50, pH 5.0",345.6,154.34927173408
MAB6181444,5.982600000000001,IGG3,386626.68,F55,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 5.0",345.6,160.45836373544
MAB6181444,5.982600000000001,IGG3,386626.68,F56,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",345.6,167.95298438728
MAB6181444,5.982600000000001,IGG3,386626.68,F57,"15 mM Citrate + 135 mM Fructose + 67.5 mM L-Lysine + 0.4 mg/mL PS50, pH 6.0",345.6,164.38126123776
MAB6181444,5.982600000000001,IGG3,386626.68,F58,"15 mM Citrate + 270 mM Fructose + 0.4 mg/mL PS50, pH 6.0",345.6,168.75940277728
MAB6181444,5.982600000000001,IGG3,386626.68,F59,"15 mM Citrate + 135 mM Fructose + 135 mM Mannitol + 0.4 mg/mL PS50, pH 6.0",345.6,168.94059722272
MAB6181444,5.982600000000001,IGG3,386626.68,F60,"15 mM Citrate + 270 mM Mannitol + 0.4 mg/mL PS50, pH 7.0",345.6,170.54869335784002
MAB6181444,5.982600000000001,IGG3,386626.68,F61,"15 mM Succinate + 67.5 mM L-Lysine + 67.5 mM KCl + 0.4 mg/mL PS50, pH 4.5",518.4,150.88111235752
MAB6181444,5.982600000000001,IGG3,386626.68,F62,"15 mM Succinate + 135 mM L-Lysine + 0.4 mg/mL PS50, pH 4.5",518.4,149.08446718672
